scenario,time_s,frame_id,event,from_state,to_state,command_id
pullin_24db_fm62p5_cp0p3,0.56000000,28,SyncReady,PullIn,PullIn,28
pullin_24db_fm62p5_cp0p3,4.24000000,212,StateRequested,PullIn,Lock,213
pullin_24db_fm62p5_cp0p3,4.26000000,213,StateCommitted,PullIn,Lock,213
pullin_24db_fm62p5_cp0p3,4.26000000,213,TrackingReady,PullIn,Lock,213
pullin_24db_fm62p5_cp0p3,5.46000000,273,StateRequested,Lock,Strong,274
pullin_24db_fm62p5_cp0p3,5.48000000,274,StateCommitted,Lock,Strong,274
pullin_24db_fm62p5_cp0p3,13.22000000,661,StateRequested,Strong,LongFast,662
pullin_24db_fm62p5_cp0p3,13.24000000,662,StateCommitted,Strong,LongFast,662
pullin_24db_fm62p5_cp0p3,16.42000000,821,StateRequested,LongFast,LongLock,822
pullin_24db_fm62p5_cp0p3,16.44000000,822,StateCommitted,LongFast,LongLock,822
pullin_24db_fm62p5_cp0p3,20.26000000,1013,StateRequested,LongLock,Medium,1014
pullin_24db_fm62p5_cp0p3,20.28000000,1014,StateCommitted,LongLock,Medium,1014
pullin_24db_fp0_cp0p3,0.56000000,28,SyncReady,PullIn,PullIn,28
pullin_24db_fp0_cp0p3,6.22000000,311,StateRequested,PullIn,Lock,312
pullin_24db_fp0_cp0p3,6.24000000,312,StateCommitted,PullIn,Lock,312
pullin_24db_fp0_cp0p3,6.24000000,312,TrackingReady,PullIn,Lock,312
pullin_24db_fp0_cp0p3,7.68000000,384,StateRequested,Lock,Strong,385
pullin_24db_fp0_cp0p3,7.70000000,385,StateCommitted,Lock,Strong,385
pullin_24db_fp0_cp0p3,15.20000000,760,StateRequested,Strong,LongFast,761
pullin_24db_fp0_cp0p3,15.22000000,761,StateCommitted,Strong,LongFast,761
pullin_24db_fp0_cp0p3,19.04000000,952,StateRequested,LongFast,LongLock,953
pullin_24db_fp0_cp0p3,19.06000000,953,StateCommitted,LongFast,LongLock,953
pullin_24db_fp0_cp0p3,22.24000000,1112,StateRequested,LongLock,Medium,1113
pullin_24db_fp0_cp0p3,22.26000000,1113,StateCommitted,LongLock,Medium,1113
pullin_24db_fp62p5_cm0p3,0.56000000,28,SyncReady,PullIn,PullIn,28
pullin_24db_fp62p5_cm0p3,4.42000000,221,StateRequested,PullIn,Lock,222
pullin_24db_fp62p5_cm0p3,4.44000000,222,StateCommitted,PullIn,Lock,222
pullin_24db_fp62p5_cm0p3,4.44000000,222,TrackingReady,PullIn,Lock,222
pullin_24db_fp62p5_cm0p3,6.12000000,306,StateRequested,Lock,Strong,307
pullin_24db_fp62p5_cm0p3,6.14000000,307,StateCommitted,Lock,Strong,307
pullin_24db_fp62p5_cm0p3,13.40000000,670,StateRequested,Strong,LongFast,671
pullin_24db_fp62p5_cm0p3,13.42000000,671,StateCommitted,Strong,LongFast,671
pullin_24db_fp62p5_cm0p3,16.60000000,830,StateRequested,LongFast,LongLock,831
pullin_24db_fp62p5_cm0p3,16.62000000,831,StateCommitted,LongFast,LongLock,831
pullin_24db_fp62p5_cm0p3,19.80000000,990,StateRequested,LongLock,Medium,991
pullin_24db_fp62p5_cm0p3,19.82000000,991,StateCommitted,LongLock,Medium,991
pullin_24db_fp62p5_cp0,0.56000000,28,SyncReady,PullIn,PullIn,28
pullin_24db_fp62p5_cp0,4.72000000,236,StateRequested,PullIn,Lock,237
pullin_24db_fp62p5_cp0,4.74000000,237,StateCommitted,PullIn,Lock,237
pullin_24db_fp62p5_cp0,4.74000000,237,TrackingReady,PullIn,Lock,237
pullin_24db_fp62p5_cp0,6.04000000,302,StateRequested,Lock,Strong,303
pullin_24db_fp62p5_cp0,6.06000000,303,StateCommitted,Lock,Strong,303
pullin_24db_fp62p5_cp0,13.70000000,685,StateRequested,Strong,LongFast,686
pullin_24db_fp62p5_cp0,13.72000000,686,StateCommitted,Strong,LongFast,686
pullin_24db_fp62p5_cp0,16.90000000,845,StateRequested,LongFast,LongLock,846
pullin_24db_fp62p5_cp0,16.92000000,846,StateCommitted,LongFast,LongLock,846
pullin_24db_fp62p5_cp0,20.10000000,1005,StateRequested,LongLock,Medium,1006
pullin_24db_fp62p5_cp0,20.12000000,1006,StateCommitted,LongLock,Medium,1006
pullin_24db_fp62p5_cp0p3,0.56000000,28,SyncReady,PullIn,PullIn,28
pullin_24db_fp62p5_cp0p3,1.78000000,89,StateRequested,PullIn,Lock,90
pullin_24db_fp62p5_cp0p3,1.80000000,90,StateCommitted,PullIn,Lock,90
pullin_24db_fp62p5_cp0p3,1.80000000,90,TrackingReady,PullIn,Lock,90
pullin_24db_fp62p5_cp0p3,4.78000000,239,StateRequested,Lock,Strong,240
pullin_24db_fp62p5_cp0p3,4.80000000,240,StateCommitted,Lock,Strong,240
pullin_24db_fp62p5_cp0p3,10.76000000,538,StateRequested,Strong,LongFast,539
pullin_24db_fp62p5_cp0p3,10.78000000,539,StateCommitted,Strong,LongFast,539
pullin_24db_fp62p5_cp0p3,13.96000000,698,StateRequested,LongFast,LongLock,699
pullin_24db_fp62p5_cp0p3,13.98000000,699,StateCommitted,LongFast,LongLock,699
pullin_24db_fp62p5_cp0p3,17.16000000,858,StateRequested,LongLock,Medium,859
pullin_24db_fp62p5_cp0p3,17.18000000,859,StateCommitted,LongLock,Medium,859
pullin_30db_fp62p5_cp0p3,0.56000000,28,SyncReady,PullIn,PullIn,28
pullin_30db_fp62p5_cp0p3,1.10000000,55,StateRequested,PullIn,Lock,56
pullin_30db_fp62p5_cp0p3,1.12000000,56,StateCommitted,PullIn,Lock,56
pullin_30db_fp62p5_cp0p3,1.12000000,56,TrackingReady,PullIn,Lock,56
pullin_30db_fp62p5_cp0p3,2.82000000,141,StateRequested,Lock,Strong,142
pullin_30db_fp62p5_cp0p3,2.84000000,142,StateCommitted,Lock,Strong,142
pullin_30db_fp62p5_cp0p3,10.08000000,504,StateRequested,Strong,LongFast,505
pullin_30db_fp62p5_cp0p3,10.10000000,505,StateCommitted,Strong,LongFast,505
pullin_30db_fp62p5_cp0p3,13.28000000,664,StateRequested,LongFast,LongLock,665
pullin_30db_fp62p5_cp0p3,13.30000000,665,StateCommitted,LongFast,LongLock,665
pullin_30db_fp62p5_cp0p3,16.48000000,824,StateRequested,LongLock,Medium,825
pullin_30db_fp62p5_cp0p3,16.50000000,825,StateCommitted,LongLock,Medium,825
pullin_40db_fp62p5_cp0p3,0.56000000,28,SyncReady,PullIn,PullIn,28
pullin_40db_fp62p5_cp0p3,1.10000000,55,StateRequested,PullIn,Lock,56
pullin_40db_fp62p5_cp0p3,1.12000000,56,StateCommitted,PullIn,Lock,56
pullin_40db_fp62p5_cp0p3,1.12000000,56,TrackingReady,PullIn,Lock,56
pullin_40db_fp62p5_cp0p3,2.18000000,109,StateRequested,Lock,Strong,110
pullin_40db_fp62p5_cp0p3,2.20000000,110,StateCommitted,Lock,Strong,110
